conversation_id,parent_author,parent_text,parent_sentiment,parent_confidence,parent_trade_type,parent_tickers,reply_count,total_likes,total_retweets,bullish_reply_pct,bearish_reply_pct,neutral_reply_pct,has_ticker,is_actionable,total_engagement
1.84045e+18,KevinLMak,"$SPHR

Quick catch up on upcoming catalysts.

MSGN Debt
The MSGN term loan matures on Oct 11. On/bef...",bullish,75,analysis,SPHR,1,542128.0,161541.0,0.0,0.0,100.0,True,True,703669.0
1.89122e+18,amitisinvesting,"$HOOD

Was relistening to the Robinhood Q4 earnings and realized I still don’t have enough $HOOD 😭

...",bullish,75,analysis,HOOD,7,480322.0,16923.0,0.0,14.285714285714285,85.71428571428571,True,True,497245.0
1.88957e+18,Tech_Investor20,$HIMS popularity chart over 5 years is at all time highs. This popularity is not because of Super Bo...,bullish,75,analysis,HIMS,1,410899.0,23917.0,0.0,0.0,100.0,True,True,434816.0
1.89184e+18,BarrySchwartzBW,Watsco with a strong quarter and 11% dividend raise. The company has delivered 19% compound total sh...,bullish,80,analysis,WSO,21,395501.0,37012.0,33.33333333333333,14.285714285714285,52.38095238095239,True,True,432513.0
1.88375e+18,CompoundinGirl,"Imagine

Just imagine

A Chinese AI app

Killing the strongest US stock market rally

Imagine

Deeps...",bearish,65,trade_suggestion,"BABA,PDD,BIDU",7,274401.0,40477.0,0.0,14.285714285714285,85.71428571428571,True,True,314878.0
1.88722e+18,Errecck,"$MSTR earnings vs  $MARA

Previous 3 quarters have been a sell event

vs

Feb is usually bullish and...",mixed,60,analysis,"MSTR,MARA",20,267359.0,24621.0,35.0,15.0,40.0,True,True,291980.0
1.8891e+18,ecommerceshares,"$WMT outperforming $NFLX by 20%+ (with divvy) for the last 5 years. And as a Walmart shareholder, yo...",bullish,75,analysis,"WMT,NFLX",22,227156.0,19445.0,18.181818181818183,18.181818181818183,63.63636363636363,True,True,246601.0
1.89232e+18,Errecck,"The quoted line in the sand is the Bible

$MARA is barely holding on https://t.co/Y5v9thc1O9",bearish,65,analysis,MARA,47,214393.0,25456.0,42.5531914893617,29.78723404255319,27.659574468085108,True,True,239849.0
1.88712e+18,Brian_Stoffel_,My first pass on $UBER earnings. One thing I don't love is 30% increase on sales and marketing becom...,bearish,65,analysis,UBER,14,218051.0,10682.0,50.0,14.285714285714285,35.714285714285715,True,True,228733.0
1.88799e+18,JPATrades,"$NVDA 110-115 level held ✅
 
Good for a $20 bounce this week✅
 
Any calls bought in that zone finish...",bullish,85,trade_suggestion,NVDA,8,145022.0,14306.0,37.5,0.0,62.5,True,True,159328.0
1.86597e+18,SFarringtonBKC,"I Want to Sell a Covered Call for Christmas? $RIG, $SBSW, $NWL, $EQX, $VET

https://t.co/bgC7nRQpqF",bullish,70,trade_suggestion,"RIG,SBSW,NWL,EQX,VET",3,114697.0,26353.0,0.0,0.0,100.0,True,True,141050.0
1.82842e+18,KevinLMak,"$ASTS
""I wouldn't be surprised if we saw another 3-4 million shares covered this week (that will sho...",bullish,65,analysis,ASTS,73,110858.0,21323.0,1.36986301369863,72.6027397260274,26.027397260273972,True,True,132181.0
1.88718e+18,ecommerceshares,Where exactly do the semiconductor bears think that this massive increase in hyperscaler capex (beyo...,bearish,65,analysis,AMD,61,107521.0,11708.0,37.704918032786885,19.672131147540984,42.62295081967213,True,True,119229.0
1.88948e+18,ZaStocks,"Earnings reactions have greatly improved over the last week or so.

Few of the best movers thus far:...",bullish,75,analysis,"DOCS,NET,UPST,AFRM,TTWO,EXPE,MNDY,PINS,SBUX,SPOT,PLTR,APPS,TEAM",20,106157.0,7201.0,35.0,20.0,45.0,True,True,113358.0
1.85753e+18,ZaStocks,So this week we got the pullback I expected last week and the strongest sectors have been fintech an...,bullish,85,trade_suggestion,"TSLA,SQ",7,99959.0,11415.0,14.285714285714285,0.0,85.71428571428571,True,True,111374.0
